
time 00h 01m 01s, episodes 748, frames 0.2M, run epr 155.04, run loss 67.82
time 00h 02m 02s, episodes 1507, frames 0.4M, run epr 168.95, run loss 65.02
time 00h 03m 03s, episodes 2292, frames 0.7M, run epr 161.80, run loss 52.82
time 00h 04m 04s, episodes 3044, frames 0.9M, run epr 187.86, run loss 53.23
time 00h 05m 06s, episodes 3804, frames 1.1M, run epr 202.59, run loss 57.56
time 00h 06m 06s, episodes 4571, frames 1.4M, run epr 167.54, run loss 50.00
time 00h 07m 07s, episodes 5328, frames 1.6M, run epr 172.14, run loss 53.99
time 00h 08m 08s, episodes 6100, frames 1.8M, run epr 172.83, run loss 56.05

	2M frames: saved model

time 00h 09m 10s, episodes 6862, frames 2.0M, run epr 195.35, run loss 54.86
time 00h 10m 12s, episodes 7625, frames 2.3M, run epr 171.25, run loss 50.75
time 00h 11m 12s, episodes 8393, frames 2.5M, run epr 163.15, run loss 47.75
time 00h 12m 12s, episodes 9118, frames 2.7M, run epr 195.31, run loss 53.09
time 00h 13m 13s, episodes 9848, frames 2.9M, run epr 201.53, run loss 55.66
time 00h 14m 14s, episodes 10602, frames 3.2M, run epr 157.89, run loss 54.42
time 00h 15m 14s, episodes 11327, frames 3.4M, run epr 207.90, run loss 58.36
time 00h 16m 15s, episodes 12050, frames 3.6M, run epr 200.67, run loss 60.20
time 00h 17m 15s, episodes 12789, frames 3.8M, run epr 186.63, run loss 51.22

	4M frames: saved model

time 00h 18m 17s, episodes 13532, frames 4.1M, run epr 196.99, run loss 65.41
time 00h 19m 17s, episodes 14286, frames 4.3M, run epr 186.85, run loss 62.57
time 00h 20m 18s, episodes 15006, frames 4.5M, run epr 201.10, run loss 58.59
time 00h 21m 18s, episodes 15716, frames 4.7M, run epr 193.84, run loss 52.51
time 00h 22m 19s, episodes 16418, frames 5.0M, run epr 219.28, run loss 57.99
time 00h 23m 21s, episodes 17104, frames 5.2M, run epr 230.47, run loss 52.48
time 00h 24m 23s, episodes 17821, frames 5.4M, run epr 239.81, run loss 51.28
time 00h 25m 24s, episodes 18528, frames 5.6M, run epr 196.17, run loss 54.78
time 00h 26m 25s, episodes 19235, frames 5.9M, run epr 206.58, run loss 55.00

	6M frames: saved model

time 00h 27m 26s, episodes 19940, frames 6.1M, run epr 224.51, run loss 57.13
time 00h 28m 27s, episodes 20633, frames 6.3M, run epr 260.49, run loss 70.74
time 00h 29m 28s, episodes 21286, frames 6.5M, run epr 254.82, run loss 67.86
time 00h 30m 29s, episodes 21962, frames 6.8M, run epr 222.14, run loss 58.53
time 00h 31m 30s, episodes 22625, frames 7.0M, run epr 266.19, run loss 71.11
time 00h 32m 32s, episodes 23318, frames 7.2M, run epr 243.13, run loss 62.94
time 00h 33m 32s, episodes 24018, frames 7.4M, run epr 204.73, run loss 56.13
time 00h 34m 34s, episodes 24714, frames 7.7M, run epr 228.59, run loss 64.84
time 00h 35m 36s, episodes 25408, frames 7.9M, run epr 239.50, run loss 66.97

	8M frames: saved model

time 00h 36m 38s, episodes 26082, frames 8.1M, run epr 287.70, run loss 75.49
time 00h 37m 40s, episodes 26750, frames 8.4M, run epr 284.97, run loss 65.90
time 00h 38m 42s, episodes 27435, frames 8.6M, run epr 249.85, run loss 72.52
